State name,Population,Male,Female
NAGALAND,250260,131753,118507
NAGALAND,194622,101092,93530
NAGALAND,140757,71217,69540
NAGALAND,166343,84505,81838
NAGALAND,378811,197394,181417
NAGALAND,163418,83743,79675
NAGALAND,196596,101933,94663
NAGALAND,50484,26502,23982
NAGALAND,74004,37830,36174
NAGALAND,267988,138966,129022
NAGALAND,95219,49714,45505
MANIPUR,479148,247323,231825
MANIPUR,140651,72371,68280
MANIPUR,274143,138820,135323
MANIPUR,237399,118782,118617
MANIPUR,422168,210845,211323
MANIPUR,517992,255054,262938
MANIPUR,456113,226094,230019
MANIPUR,183998,94718,89280
MANIPUR,144182,74579,69603
MIZORAM,86364,44828,41536
MIZORAM,83955,42918,41037
MIZORAM,400309,199270,201039
MIZORAM,125745,63388,62357
MIZORAM,64937,32851,32086
MIZORAM,161428,82891,78537
MIZORAM,117894,60599,57295
MIZORAM,56574,28594,27980
TRIPURA,1725739,879428,846311
TRIPURA,876001,447544,428457
TRIPURA,378230,194544,183686
TRIPURA,693947,352860,341087
MEGHALAYA,643291,324159,319132
MEGHALAYA,317917,161223,156694
MEGHALAYA,142334,73170,69164
MEGHALAYA,383461,193715,189746
MEGHALAYA,258840,132531,126309
MEGHALAYA,825922,410749,415173
MEGHALAYA,395124,196285,198839
ASSAM,887142,452905,434237
ASSAM,1949258,997848,951410
ASSAM,1008183,513292,494891
ASSAM,1693622,867004,826618
ASSAM,957423,486651,470772
ASSAM,2823768,1439112,1384656
ASSAM,1924110,983904,940206
ASSAM,1042137,529674,512463
ASSAM,686133,351249,334884
ASSAM,1327929,680231,647698
ASSAM,1326335,676434,649901
ASSAM,1151050,589216,561834
ASSAM,1092256,556805,535451
ASSAM,1066888,543161,523727
ASSAM,956313,490167,466146
ASSAM,214102,110802,103300
ASSAM,1736617,886284,850333
ASSAM,1228686,625864,602822
ASSAM,659296,337890,321406
ASSAM,738804,375818,362986
ASSAM,482162,244860,237302
ASSAM,1517542,778461,739081
ASSAM,1253938,647585,606353
ASSAM,771639,396006,375633
ASSAM,950075,481330,468745
ASSAM,928500,475273,453227
ASSAM,831668,421617,410051
WEST BENGAL,1846823,937259,909564
WEST BENGAL,3872846,1983064,1889782
WEST BENGAL,2819086,1451542,1367544
WEST BENGAL,3007134,1551066,1456068
WEST BENGAL,1676276,857199,819077
WEST BENGAL,3988845,2051541,1937304
WEST BENGAL,7103807,3627564,3476243
WEST BENGAL,3502404,1790920,1711484
WEST BENGAL,7717563,3966889,3750674
WEST BENGAL,5167600,2653768,2513832
WEST BENGAL,10009781,5119389,4890392
WEST BENGAL,5519145,2814653,2704492
WEST BENGAL,3596674,1838095,1758579
WEST BENGAL,2930115,1496996,1433119
WEST BENGAL,4850029,2500819,2349210
WEST BENGAL,4496694,2356766,2139928
WEST BENGAL,8161961,4173778,3988183
WEST BENGAL,5913457,3007885,2905572
WEST BENGAL,5095875,2629834,2466041
JHARKHAND,1322784,683575,639209
JHARKHAND,1042886,533935,508951
JHARKHAND,716259,367222,349037
JHARKHAND,2445474,1258098,1187376
JHARKHAND,1492073,775022,717051
